Title: The Spatial Structure of Young Stellar Clusters. I. Subclusters 
Authors: Kuhn M.A., Feigelson E.D., Getman K.V., Baddeley A.J., Broos P.S., 
         Sills A., Bate M.R., Povich M.S., Luhman K.L., Busk H.A., Naylor T., 
         King R.R. 
Table: Star Positions in the Statistical Sample
================================================================================
Byte-by-byte Description of file: stars_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label        Explanations
--------------------------------------------------------------------------------
   1-  7 A7     ---   target       MYStIX region name
   9- 26 A18    ---   designation  MPCM source designation (1)
  28- 38 F11.7  deg   RAdeg        Right Ascension in decimal degrees (J2000)
  40- 50 F11.7  deg   DEdeg        Declination in decimal degrees (J2000)
--------------------------------------------------------------------------------
Note (1): MPCM are MYStIX Probable Complex Members, which are defined by 
          Broos et al. (2013).
--------------------------------------------------------------------------------
orion   053429.45-052337.4  83.6227264  -5.3937302
orion   053433.95-052211.1  83.6414719  -5.3697672
orion   053438.22-052423.5  83.6592789  -5.4065342
orion   053439.92-052642.0  83.6663361  -5.4450002
orion   053440.03-052604.1  83.6668091  -5.4344778
orion   053440.88-052242.2  83.6703720  -5.3784080
orion   053440.85-052639.3  83.6702194  -5.4442501
orion   053440.98-052559.8  83.6707764  -5.4333048
orion   053441.62-052357.7  83.6734467  -5.3993778
orion   053441.74-052652.8  83.6739349  -5.4480171
orion   053441.86-052149.6  83.6744308  -5.3637829
orion   053443.02-052007.2  83.6792908  -5.3353429
orion   053444.44-052606.0  83.6852036  -5.4350171
orion   053444.51-052438.2  83.6854782  -5.4106369
orion   053445.20-052504.1  83.6883392  -5.4178081
orion   053445.99-052250.6  83.6916275  -5.3807402
orion   053445.93-052455.6  83.6914139  -5.4154568
orion   053446.41-052431.8  83.6933975  -5.4088440
orion   053446.59-052325.6  83.6941528  -5.3904548
orion   053446.72-052124.8  83.6946716  -5.3569140
orion   053447.03-052357.6  83.6959991  -5.3993340
orion   053447.58-052128.4  83.6982574  -5.3579059
orion   053447.96-052340.3  83.6998444  -5.3945541
orion   053448.15-052238.5  83.7006531  -5.3773708
orion   053448.79-051907.6  83.7033234  -5.3187938
orion   053448.83-052317.9  83.7034836  -5.3883328
orion   053449.09-052626.6  83.7045593  -5.4407482
orion   053449.03-052818.5  83.7042999  -5.4718189
orion   053449.10-052808.9  83.7045898  -5.4691439
orion   053449.31-051855.5  83.7054901  -5.3154411
orion   053449.60-052903.3  83.7066879  -5.4842629
orion   053450.15-052000.2  83.7089844  -5.3333950
orion   053450.46-052020.5  83.7102814  -5.3390412
orion   053450.54-052335.3  83.7105865  -5.3931608
orion   053450.73-052401.3  83.7113876  -5.4003649
orion   053450.74-052700.8  83.7114563  -5.4502492
orion   053450.80-052403.0  83.7117081  -5.4008498
orion   053450.89-052924.7  83.7120819  -5.4902120
orion   053451.57-052513.0  83.7148972  -5.4202790
orion   053451.82-052139.0  83.7159195  -5.3608460
orion   053452.04-052418.8  83.7168350  -5.4052248
orion   053452.05-052442.9  83.7168808  -5.4119191
orion   053452.19-052231.9  83.7174759  -5.3755341
orion   053452.38-052501.1  83.7182541  -5.4169998
orion   053452.36-053007.7  83.7181854  -5.5021620
orion   053452.60-052403.8  83.7191925  -5.4010668
orion   053452.62-052945.8  83.7192535  -5.4960632
orion   053452.70-052125.4  83.7195892  -5.3570719
orion   053452.78-052752.9  83.7199402  -5.4647198
orion   053452.78-052755.1  83.7199402  -5.4653201
